"id","source","channel","preferred_lang","state","ip","user_agent","submitted_on","recorded_on","cron_id"
"69e9acbe-8502-4c60-a499-68e9524f71ec","whatsapp","web","hin","Madhya Pradesh","157.34.253.178","Mozilla/5.0 (Linux; U; Android 7.1.1; en-us; CPH1729 Build/N6F26Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.88 Mobile Safari/537.36 HeyTapBrowser/15.8.4.2","2022-07-12 12:33:12.825+05:30","2022-07-12 12:33:16.292+05:30",16826
"64557674-753c-4a6a-a617-f7e16042805b","email","web","hin","Chandigarh","157.34.68.8","Mozilla/5.0 (Linux; Android 10; M2010J19SI) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36","2022-07-12 12:45:57.432+05:30","2022-07-12 12:45:59.377+05:30",16827
"5026f648-6768-4f06-bfb9-6dcc7aaee2e5","whatsapp","web","en","Rajasthan","27.63.106.214","Mozilla/5.0 (Linux; Android 11; vivo 1901; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/87.0.4280.141 Mobile Safari/537.36 VivoBrowser/8.5.3.0","2022-07-12 12:47:21.188+05:30","2022-07-12 12:47:21.795+05:30",16828
"081d30b4-02ff-4686-9de2-7e4c088ef53b","web","web","en","Goa","103.245.10.178","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36","2022-07-12 12:49:32.565+05:30","2022-07-12 12:49:33.642+05:30",16829
"9457759c-e10c-4c57-924d-27fd7c7fd60f","whatsapp","web","hin","Rajasthan","42.105.49.107","Mozilla/5.0 (Linux; Android 10; SM-J720F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36","2022-07-12 13:12:41.933+05:30","2022-07-12 13:12:44.458+05:30",16830
"7e5f8e80-97aa-418a-a980-da41dd1c49c4","whatsapp","web","en","Rajasthan","157.38.131.71","Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A127F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.0 Chrome/87.0.4280.141 Mobile Safari/537.36","2022-07-12 13:42:58.796+05:30","2022-07-12 13:43:01.205+05:30",16831
"6cab40e1-9cfb-4556-a424-77a47e7bcfd2","web","web","en","Maharashtra","152.57.115.102","Mozilla/5.0 (Linux; Android 10; SM-J810G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.74 Mobile Safari/537.36","2022-07-12 14:22:43.332+05:30","2022-07-12 14:22:44.282+05:30",16832
"028f0cb0-c555-40fa-840a-74c63f2beaed","whatsapp","web","urd","West Bengal","157.35.85.49","Mozilla/5.0 (Linux; Android 10; Redmi Note 8 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Mobile Safari/537.36","2022-07-09 14:11:18.702+05:30","2022-07-09 14:11:20.622+05:30",14534
"dbe788bf-34ad-4389-8f22-a583edbc1a8f","whatsapp","web","en","West Bengal","110.224.23.198","Mozilla/5.0 (Linux; Android 9; ASUS_X01BDA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.87 Mobile Safari/537.36","2022-07-09 14:25:39.029+05:30","2022-07-09 14:24:52.114+05:30",14542
"818b48b3-f906-4144-a96c-daf3fb2b44f8","whatsapp","web","hin","Rajasthan","27.63.70.46","Mozilla/5.0 (Linux; Android 11; SM-A305F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36","2022-07-09 15:07:15.763+05:30","2022-07-09 15:07:17.969+05:30",14588
